Sr.No.,Item,CODE
,,
A,SURFACE CLEANING,
1,All Purpose Cleaner,GR-300
2,Multi Purpose Cleaner,GR-1
3,Eco Floor Cleaner,GR-300
4,Eco Floor Cleaner Lemon,GR-300
5,Eco Floor Cleaner Lemon Grass,GR-300
6,Eco Floor Cleaner Orange,GR-300
7,Eco Floor Cleaner Lavender,GR-300
8,Eco Floor Cleaner - French Bouquet,GR-300
B,TOILET & BATHROOM CLEANER,
1,Toilet Cleaner & Bathroom Cleaner,GR-6
2,Bio Hand Wash,GRHW
3,Odur Neutralizer (RTU),GR-91
4,Bio Hand Wash Lemon,GRHW
5,Bio Hand Wash Lemon Grass,GRHW
6,Bio Hand Wash Orange- Marain,GRHW
7,Bio Hand Wash Lavender,GRHW
8,Urinal Hygiene Bar,UHB
C,FABRIC CARE,
1,Laundry Liquid,GR-100
2,Carpet shampoo,GR-101
3,Carpet Stain remover,GR-103
4,Carpet Shampoo (Machine) Heavy Foam,GR-101
5,Fabric Stain Remover,GR-200
6,Blood Stain Remover,GR+80
D,KITCHEN CARE,
1,Dish wash,GR-1.2
2,Dish wash (Machine) Low Foam,GR-1.2
3,Bio Rinser,GR-6.6
4,Bio Drain Cleaner,GRDC
E,AIR FRESHNER,
1,Air Freshner,GR-5
2,Air Freshner Arabian Oudh,GR-5
3,Air Freshner Bergamot,GR-5
4,Air Freshner Lemon,GR-5
5,Air Freshner Lemon Grass,GR-5
6,Air Freshner Orange,GR-5
7,Air Freshner Lavender,GR-5
F,INDUSTRIAL,
1,Bio Degreaser,GR-7
2,Eco Glass Cleaner,GR-3
3,Hard surface cleaner,GR-2
4,Steel Polish,GR-7.1
5,Furniture / Wooden Polish,GR-4
6,Gum Remover,GR-10
7,De Scaler,GR-9
8,De Freeze Cleaner,GRDF
G,STP,
1,Septizyme,GR25LS
H,MEDICAL,
1,HydroCarbon Cleaning Enzyme,GR-108
2,HydroCarbon Cleaning Enzyme,GR-108
I,POULTRY FARM,
1,Hygeine Care Disinfactant,GR-78
J,FOOD FACTORY,
1,Verda Mist,GR4V
